area	lon_wmc	lat_wmc	area_ext_coord	indx	indy
A100	3.812500	41.500000	[(3.491666666666667, 41.24310484), (4.183333333333334, 41.24310484), (4.183333333333334, 41.76706221333333), (3.491666666666667, 41.76706221333333), (3.491666666666667, 41.24310484)]	13	21
A101	3.812500	42.031250	[(3.491666666666667, 41.76706221333333), (4.183333333333334, 41.76706221333333), (4.183333333333334, 42.291019586666664), (3.491666666666667, 42.291019586666664), (3.491666666666667, 41.76706221333333)]	13	22
A102	3.812500	42.562500	[(3.491666666666667, 42.291019586666664), (4.183333333333334, 42.291019586666664), (4.183333333333334, 42.814976959999996), (3.491666666666667, 42.814976959999996), (3.491666666666667, 42.291019586666664)]	13	23
A103	3.819041	43.088663	[(3.491666666666667, 42.814976959999996), (4.183333333333334, 42.814976959999996), (4.183333333333334, 43.338934333333334), (3.491666666666667, 43.338934333333334), (3.491666666666667, 42.814976959999996)]	13	24
A104	3.940972	43.423611	[(3.491666666666667, 43.338934333333334), (4.183333333333334, 43.338934333333334), (4.183333333333334, 43.862891706666666), (3.491666666666667, 43.862891706666666), (3.491666666666667, 43.338934333333334)]	13	25
A105	4.545000	36.965000	[(4.183333333333334, 36.52748848), (4.875, 36.52748848), (4.875, 37.051445853333334), (4.183333333333334, 37.051445853333334), (4.183333333333334, 36.52748848)]	14	12
A106	4.531250	37.312500	[(4.183333333333334, 37.051445853333334), (4.875, 37.051445853333334), (4.875, 37.575403226666666), (4.183333333333334, 37.575403226666666), (4.183333333333334, 37.051445853333334)]	14	13
A107	4.531250	37.843750	[(4.183333333333334, 37.575403226666666), (4.875, 37.575403226666666), (4.875, 38.0993606), (4.183333333333334, 38.0993606), (4.183333333333334, 37.575403226666666)]	14	14
A108	4.531250	38.343750	[(4.183333333333334, 38.0993606), (4.875, 38.0993606), (4.875, 38.62331797333333), (4.183333333333334, 38.62331797333333), (4.183333333333334, 38.0993606)]	14	15
A109	4.531250	38.875000	[(4.183333333333334, 38.62331797333333), (4.875, 38.62331797333333), (4.875, 39.14727534666667), (4.183333333333334, 39.14727534666667), (4.183333333333334, 38.62331797333333)]	14	16
A110	4.531250	39.406250	[(4.183333333333334, 39.14727534666667), (4.875, 39.14727534666667), (4.875, 39.67123272), (4.183333333333334, 39.67123272), (4.183333333333334, 39.14727534666667)]	14	17
A111	4.557449	39.940657	[(4.183333333333334, 39.67123272), (4.875, 39.67123272), (4.875, 40.19519009333333), (4.183333333333334, 40.19519009333333), (4.183333333333334, 39.67123272)]	14	18
A112	4.531250	40.468750	[(4.183333333333334, 40.19519009333333), (4.875, 40.19519009333333), (4.875, 40.71914746666667), (4.183333333333334, 40.71914746666667), (4.183333333333334, 40.19519009333333)]	14	19
A113	4.531250	40.968750	[(4.183333333333334, 40.71914746666667), (4.875, 40.71914746666667), (4.875, 41.24310484), (4.183333333333334, 41.24310484), (4.183333333333334, 40.71914746666667)]	14	20
A114	4.531250	41.500000	[(4.183333333333334, 41.24310484), (4.875, 41.24310484), (4.875, 41.76706221333333), (4.183333333333334, 41.76706221333333), (4.183333333333334, 41.24310484)]	14	21
A115	4.531250	42.031250	[(4.183333333333334, 41.76706221333333), (4.875, 41.76706221333333), (4.875, 42.291019586666664), (4.183333333333334, 42.291019586666664), (4.183333333333334, 41.76706221333333)]	14	22
A116	4.531250	42.562500	[(4.183333333333334, 42.291019586666664), (4.875, 42.291019586666664), (4.875, 42.814976959999996), (4.183333333333334, 42.814976959999996), (4.183333333333334, 42.291019586666664)]	14	23
A117	4.531250	43.093750	[(4.183333333333334, 42.814976959999996), (4.875, 42.814976959999996), (4.875, 43.338934333333334), (4.183333333333334, 43.338934333333334), (4.183333333333334, 42.814976959999996)]	14	24
A118	4.312500	43.395833	[(4.183333333333334, 43.338934333333334), (4.875, 43.338934333333334), (4.875, 43.862891706666666), (4.183333333333334, 43.862891706666666), (4.183333333333334, 43.338934333333334)]	14	25
A119	5.253289	36.872807	[(4.875, 36.52748848), (5.566666666666666, 36.52748848), (5.566666666666666, 37.051445853333334), (4.875, 37.051445853333334), (4.875, 36.52748848)]	15	12
A120	5.218750	37.312500	[(4.875, 37.051445853333334), (5.566666666666666, 37.051445853333334), (5.566666666666666, 37.575403226666666), (4.875, 37.575403226666666), (4.875, 37.051445853333334)]	15	13
A121	5.218750	37.843750	[(4.875, 37.575403226666666), (5.566666666666666, 37.575403226666666), (5.566666666666666, 38.0993606), (4.875, 38.0993606), (4.875, 37.575403226666666)]	15	14
A122	5.218750	38.343750	[(4.875, 38.0993606), (5.566666666666666, 38.0993606), (5.566666666666666, 38.62331797333333), (4.875, 38.62331797333333), (4.875, 38.0993606)]	15	15
A123	5.218750	38.875000	[(4.875, 38.62331797333333), (5.566666666666666, 38.62331797333333), (5.566666666666666, 39.14727534666667), (4.875, 39.14727534666667), (4.875, 38.62331797333333)]	15	16
A124	5.218750	39.406250	[(4.875, 39.14727534666667), (5.566666666666666, 39.14727534666667), (5.566666666666666, 39.67123272), (4.875, 39.67123272), (4.875, 39.14727534666667)]	15	17
A125	5.218750	39.937500	[(4.875, 39.67123272), (5.566666666666666, 39.67123272), (5.566666666666666, 40.19519009333333), (4.875, 40.19519009333333), (4.875, 39.67123272)]	15	18
A126	5.218750	40.468750	[(4.875, 40.19519009333333), (5.566666666666666, 40.19519009333333), (5.566666666666666, 40.71914746666667), (4.875, 40.71914746666667), (4.875, 40.19519009333333)]	15	19
A127	5.218750	40.968750	[(4.875, 40.71914746666667), (5.566666666666666, 40.71914746666667), (5.566666666666666, 41.24310484), (4.875, 41.24310484), (4.875, 40.71914746666667)]	15	20
